DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 1,80980296,MARISTA SECUNDARIA,Regular,Convenio,R.A. 6065/2024,20/12/2024,TEMPORAL,KAPAC YUPANQUI Nro 2460,Abierta,.
COCHABAMBA 1,80980196,SANTA MONICA,Regular,Convenio,R.A. 1224/2009,25/6/2009,TICTI  NORTE,PARADA FINAL MICRO F TEMPORAL,Abierta,.
COCHABAMBA 1,80980432,SAN MARCELINO,Regular,Convenio,R.A. 6064/2024,19/12/2024,TICTI  NORTE,PARADA FINAL MICRO F TEMPORAL,Abierta,.
COCHABAMBA 1,80980310,NUESTRA SEÑORA DEL PILAR,Regular,Convenio,R.A. 2450/2023,6/7/2023,TICTI NORTE,PLAZA SEÑOR DE MAYO FINAL AVENIDA ANTAWARAS S/N,Abierta,.
COCHABAMBA 1,80980602,MARIA DE LOS ANDES,Regular,Convenio,R.A. 2619/2018,16/2/2018,TICTI NORTE,PLAZA SEÑOR DE MAYO FINAL AVENIDA ANTAWARAS S/N,Abierta,.
COCHABAMBA 2,80980313,MARIA JOSEFA MUJIA,Regular,Convenio,115/2003,19/5/2003,TICTI SUD ALTO COCHABAMBA,ZONA TICTI SUD ALTO COCHABAMBA,Abierta,.
COCHABAMBA 2,80980517,TUPAC KATARI,Regular,Fiscal,R.A. 2822/2013,29/10/2013,TICTI SUR,AV. PETROLERA ZONA TICTI SUR CHASCARUMY,Abierta,.
COCHABAMBA 1,80980288,AYACUCHO,Regular,Fiscal,0236/2000,19/4/2000,TUPURAYA,CALLE FROILAN ZAMBRANA Y BENANCIO JIMENEZ Nº 28,Abierta,.
COCHABAMBA 1,80980382,CALIFORNIA,Regular,Privada,R.A. 2474/2017,18/9/2017,TUPURAYA,AV. AMERICA ESTE. Nro 1152,Abierta,.
COCHABAMBA 1,80980239,CARLITA REYES VILLA,Regular,Fiscal,3778/2000,8/8/2000,TUPURAYA,CALLE FROILAN ZAMBRANA Y BENANCIO JIMENEZ Nº 28,Abierta,.
COCHABAMBA 1,80980042,PEDRO POVEDA NOCTURNO,Regular,Convenio,4092/2000,28/8/2000,TUPURAYA,PLAZA TARIJA Nro 1287,Abierta,.
COCHABAMBA 1,80980337,SAN AGUSTIN,Regular,Privada,R.A. 1333/2014,5/5/2014,TUPURAYA,AVENIDA AMERICA Nro 1359,Abierta,.
COCHABAMBA 1,80980404,PEDRO POVEDA,Regular,Privada,R.A. 0802/2019,20/12/2019,TUPURAYA,PLAZA TARIJA Nro 1287,Abierta,.
COCHABAMBA 1,80980580,MADRE MARIA OLIVA,Alternativa y Especial,Convenio,R.A. 5123/2023,20/12/2023,TUPURAYA,CALLE MAXIMILIANO MARQUEZ Nº 2346,Abierta,.
COCHABAMBA 1,80980467,CATOLICO GUADALUPANO,Regular,Privada,R.A.3606/2014,5/11/2014,TURUPAYA,AV. CIRCUNVALACION ENTRE CALLE ROSALES Y  CALLE QUIJARRO N° 1982,Cerrada,.
COCHABAMBA 1,80980547,TIA KIKA,Regular,Privada,R.A. 03113/2009,17/12/2009,TURUPAYA,.,Abierta,.
